date;Earray(kWh/day);EOutInv(kWh/day)
31/07/1990;947,43;935,66
01/08/1990;924,72;913,04
02/08/1990;932,57;920,88
03/08/1990;931;919,34
04/08/1990;893,99;882,4
05/08/1990;937,21;925,54
06/08/1990;706,35;696,69
07/08/1990;913,56;902,05
08/08/1990;949,37;937,6
09/08/1990;947,21;935,46
10/08/1990;914,13;902,43
11/08/1990;923,9;912,33
12/08/1990;946,94;935,16
13/08/1990;835,71;825,22
14/08/1990;957,81;945,9
15/08/1990;968,89;956,97
16/08/1990;976,71;964,71
17/08/1990;970,24;958,32
18/08/1990;972,09;960,14
19/08/1990;965,93;954
20/08/1990;956,73;944,9
21/08/1990;951,85;940,03
22/08/1990;947,88;936,08
23/08/1990;977,23;965,25
24/08/1990;973,63;961,69
25/08/1990;937,88;926,27
26/08/1990;975,09;963,15
27/08/1990;973,23;961,29
28/08/1990;950,44;938,63
29/08/1990;977,27;965,29
30/08/1990;972,68;960,74
31/08/1990;906,27;894,94
01/09/1990;948,96;937,16
02/09/1990;950,13;938,31
03/09/1990;960,13;948,27
04/09/1990;959,13;947,26
05/09/1990;970,44;958,49
06/09/1990;952,56;940,72
07/09/1990;959,61;947,75
08/09/1990;963,3;951,43
09/09/1990;959,12;947,2
10/09/1990;912,74;901,37
11/09/1990;808,53;797,76
12/09/1990;781,35;770,72
13/09/1990;808,19;797,34
14/09/1990;918,82;907,18
15/09/1990;890,42;878,93
16/09/1990;932,06;920,31
17/09/1990;932,97;921,32
18/09/1990;854,91;843,76
19/09/1990;839,75;828,97
20/09/1990;620,57;611,13
21/09/1990;841,16;830,05
22/09/1990;351,84;343,59
23/09/1990;925,72;914,17
24/09/1990;741,56;731,17
25/09/1990;834,69;823,5
26/09/1990;713,4;703,01
27/09/1990;979,88;967,75
28/09/1990;990,77;978,58
29/09/1990;801,4;790,77
30/09/1990;998,4;986,28
01/10/1990;855,34;844,32
02/10/1990;639,29;629,11
03/10/1990;330,95;322,74
04/10/1990;775,71;765,15
05/10/1990;615,29;606,06
06/10/1990;597,14;587,4
07/10/1990;872,76;861,62
08/10/1990;852,05;840,81
09/10/1990;623,05;612,28
10/10/1990;908,92;897,39
11/10/1990;986,2;973,55
12/10/1990;967,1;954,54
13/10/1990;727,92;716,79
14/10/1990;995,25;982,55
15/10/1990;988,62;975,9
16/10/1990;1008,5;995,68
17/10/1990;1013,9;1001,1
18/10/1990;1013,1;1000,3
19/10/1990;957,07;944,67
20/10/1990;759,38;748,26
21/10/1990;873;860,82
22/10/1990;979,37;966,78
23/10/1990;967,91;955,48
24/10/1990;936,35;924,03
25/10/1990;723,57;712,39
26/10/1990;565,93;555,69
27/10/1990;478,89;469,59
28/10/1990;632,74;622,19
29/10/1990;880,98;869,15
30/10/1990;980,09;967,5
31/10/1990;763,95;752,63
01/11/1990;490,92;481,59
02/11/1990;636,76;626,23
03/11/1990;758,98;748,49
04/11/1990;671,8;661,57
05/11/1990;907,64;895,94
06/11/1990;678,05;667,08
07/11/1990;908,51;896,14
08/11/1990;951,81;939,14
09/11/1990;722,44;711,51
10/11/1990;876,02;864,49
11/11/1990;895,72;883,84
12/11/1990;555,82;545,63
13/11/1990;359,14;349,98
14/11/1990;532,15;522,19
15/11/1990;523,94;514,21
16/11/1990;861,35;849,44
17/11/1990;596,12;585,88
18/11/1990;848,87;837,14
19/11/1990;377,12;368,07
20/11/1990;734,02;723,73
21/11/1990;958,79;946,43
22/11/1990;843,62;832,07
23/11/1990;316,46;307,66
24/11/1990;781,22;769,3
25/11/1990;494,37;484,36
26/11/1990;895,18;882,66
27/11/1990;924,96;912,27
28/11/1990;969,02;955,99
29/11/1990;905,78;893,48
30/11/1990;870,78;859,2
01/12/1990;873,72;860,79
02/12/1990;966,55;953,53
03/12/1990;908,39;895,52
04/12/1990;810,73;798,09
05/12/1990;884,23;871,82
06/12/1990;727,15;716,42
07/12/1990;909,29;896,47
08/12/1990;848,8;837,04
09/12/1990;840,97;828,93
10/12/1990;880,1;867,84
11/12/1990;930,83;918,15
12/12/1990;870,33;858,31
13/12/1990;640,19;630,46
14/12/1990;789,68;777,38
15/12/1990;997,23;983,89
16/12/1990;959,11;946,22
17/12/1990;952,2;939,06
18/12/1990;891,11;878,12
19/12/1990;859,5;847,2
20/12/1990;758,68;747,23
21/12/1990;819,84;807,77
22/12/1990;853;840,63
23/12/1990;971,95;958,82
24/12/1990;970,92;957,77
25/12/1990;992,65;979,37
26/12/1990;735,2;723,79
27/12/1990;650,96;639,6
28/12/1990;753,67;741,76
29/12/1990;480,45;470,54
30/12/1990;514,21;504,23
31/12/1990;772,59;760,6
